max_depth,min_samples_leaf,mean_train_RMSE,mean_validation_MAE,mean_validation_RMSE,validation_RMSE_std,rank
10,3,3308.149164950497,2604.540853530142,4679.946252597062,188.35894910074612,1
None,3,3281.814750866688,2607.439084477161,4683.522174042503,189.02302625522438,2
10,2,2889.9669041127613,2635.8837746243453,4733.199699054935,200.29355661327284,3
None,2,2822.604318864497,2641.4236083992437,4742.883616640684,201.65700512799899,4
10,1,2082.446958141638,2719.732269678277,4865.347585333066,238.49358717172055,5
None,1,1824.1677755442583,2731.04388720065,4899.792504639412,247.1562157579845,6
